CID,Type,Impact,Status,First Detected,Owner,Classification,Severity,Action,Component,Category,File,Function,CWE
642485,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476
642423,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476
642379,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,ofoAll,476
642428,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,offspecGasOnce,476
642492,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,offspecGasAll,476
642321,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/event/event.service.ts,offspecGasAll,476
642551,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476
642546,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476
642517,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476
642464,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476
642361,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-middle.service.ts,middleBooking,476
642613,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,meteringRetrievingMasterCheckLimit,476
642604,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,meteredCompareAll,476
642525,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/tariff/tariff.service.ts,invoiceSent,476
642352,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,intradayBaseInentoryImport,476
642305,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,intradayBaseInentoryImport,476
642376,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,intradayBaseInentoryFromWebService,561
642518,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,intradayAccImbalanceDashboard,561
642449,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,intradayAccImbalanceDashboard,476
642472,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,instructedOperationFlowShippersOnce,476
642530,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.controller.ts,importTemplate,476
642282,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/release-capacity-submission/release-capacity-submission.service.ts,getReleaseGroupByEntryAreaAndDate,476
642431,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/metering-management/metering-management.service.ts,getDataByRetrievingID,476
642527,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/common/utils/booking.util.ts,getBookingValueWithPath,476
642330,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/common/utils/booking.util.ts,getBookingValueWithPath,476
642322,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/bulletin-board/bulletin-board.service.ts,generateDailyArray,476
642462,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/nomination-dashboard/nomination-dashboard.service.ts,fnCheckSheet2,476
642413,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/tariff/tariff.service.ts,findTag,476
642414,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/quality-evaluation/quality-evaluation.service.ts,findHVByDateAndArea,476
642419,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/tariff/tariff.service.ts,findAllTariffCreditDebitNote,476
642404,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/use-it-or-lose-it/use-it-or-lose-it.service.ts,findAll2,476
642563,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/nomination-dashboard/nomination-dashboard.service.ts,findAll,476
642537,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/summary-nomination-report/summary-nomination-report.service.ts,findAll,476
642507,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/summary-nomination-report/summary-nomination-report.service.ts,findAll,476
642493,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/summary-nomination-report/summary-nomination-report.service.ts,findAll,476
642432,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/summary-nomination-report/summary-nomination-report.service.ts,findAll,476
642353,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/summary-nomination-report/summary-nomination-report.service.ts,findAll,476
642614,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,filterNestedObjectByPaths,561
642346,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.controller.ts,fileCapacityBooking,476
642455,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.service.ts,extendCapacityRequestManagementNotuse,476
642586,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.service.ts,extendCapacityRequestManagement,476
642575,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.service.ts,extendCapacityRequestManagement,476
642512,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2.service.ts,extendCapacityRequestManagement,476
642434,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,extendCapacityRequestManagement,476
642424,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,extendCapacityRequestManagement,476
642364,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,extendCapacityRequestManagement,476
642359,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,extendCapacityRequestManagement,476
642327,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity-v2/capacity-v2-2.service.ts,extendCapacityRequestManagement,476
642302,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/capacity/capacity.service.ts,extendCapacityRequestManagement,476
642504,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-file-tariff-commodity.service.ts,exportStatementOfGasAllocationMultiSheet,476
642336,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-file-tariff-commodity.service.ts,exportStatementOfGasAllocationMultiSheet,476
642409,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,executeData,476
642284,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,executeData,476
642535,Logically dead code,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Control flow issues,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/astos/astos.service.ts,eviden_nomination_eod,561
642521,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/astos/astos.service.ts,eviden_nomination_eod,476
642415,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/balancing/balancing.service.ts,evidenApiCenter,476
642602,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationIntraday,476
642368,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationEod,476
642609,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationContractPointIntradayByNom,476
642471,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationContractPointIntraday,476
642324,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationContractPointByNom,476
642515,Property access or function call before check for null or undefined,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/allocation/allocation.service.ts,evidenApiAllocationContractPoint,476
642490,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epNominationQualityPlanning,476
642391,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epNominationQualityPlanning,476
642553,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epNominationQualityEvaluation,476
642315,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epNominationQualityEvaluation,476
642572,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epMeretingMeteringMeteringChecking,476
642340,Bad use of null-like value,Medium,New,01/19/26,Unassigned,Unclassified,Unspecified,Undecided,Other,Null pointer dereferences,/Users/zax/Documents/Project_TPA_SCAN/VA146/TPA-F02/src/export-files/export-files.service.ts,epCapacityUseItOrLoseIt,476
